time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1785287220,27994.25,28011.75,27989.25,28009.25,-1,0,0,0,0,1656,1370.75
1785287280,28008.75,28011.5,27986.25,27992.5,-1,0,0,0,0,1390,1354.4
1785287340,27993.5,27994,27973,27977.25,-1,0,0,0,0,1682,1371
1785287400,27977.75,27979.75,27950,27954.5,-1,0,0,0,0,3075,1467.65
1785287460,27955.5,27956,27943,27949.75,-1,0,0,0,0,2053,1513.7
1785287520,27949.25,27955.75,27940,27952,-1,0,0,0,0,1857,1562.65
1785287580,27951.25,27957.5,27936.5,27938,-1,0,0,0,0,1947,1612.1
1785287640,27938.75,27938.75,27911.75,27920.75,-1,0,0,0,0,3370,1741.3
1785287700,27921.5,27922,27896.5,27909.25,-1,0,0,0,0,3130,1843.45
1785287760,27908,27928.25,27902.75,27928,-1,0,0,0,0,1903,1870.35
1785287820,27926.75,27933,27909.25,27927,-1,0,0,0,0,2213,1914.3
1785287880,27926.5,27941.5,27913.25,27917.5,-1,0,0,0,0,2261,1903.2
1785287940,27918.5,27943.75,27918.5,27928.75,-1,0,0,0,0,1512,1920.9
1785288000,27928.25,27957.75,27927.75,27945.75,-1,0,0,0,0,2729,1981.65
1785288060,27946.5,27955.75,27942.25,27953,-1,0,0,0,0,1334,1934.85
1785288120,27952.25,27966.75,27949.5,27956.25,-1,0,0,0,0,1842,1971.95
1785288180,27958.5,27981.25,27958,27980.75,-1,0,0,0,0,1734,2006.25
1785288240,27980,27988.5,27977,27980.75,-1,0,0,0,0,1910,2032.5
1785288300,27981.25,27987.5,27971.25,27978.75,-1,0,0,0,0,1406,2060.6
1785288360,27979,27989.5,27973.75,27985.75,-1,0,0,0,0,1364,2018.4
1785288420,27986,28002.75,27982.75,27992,-1,0,0,0,0,1587,2014.95
1785288480,27992.5,27995.25,27975,27981,-1,0,0,0,0,1136,2002.25
1785288540,27981.75,27985.25,27971.25,27972.75,-1,0,0,0,0,929,1964.6
1785288600,27973,27973,27951.75,27962.75,-1,0,0,0,0,2799,1950.8
1785288660,27962.75,27980,27954.75,27962.75,-1,0,0,0,0,1603,1928.3
1785288720,27961,27982.5,27958,27975.25,-1,0,0,0,0,1036,1887.25
1785288780,27974.75,27975.5,27945,27946.5,-1,0,0,0,0,1484,1864.1
1785288840,27947,27975.75,27946.25,27964.75,-1,0,0,0,0,1350,1763.1
1785288900,27964.75,27969.75,27934.25,27936.75,-1,0,0,0,0,2070,1710.1
1785288960,27936.75,27948.5,27933.5,27940.5,-1,0,0,0,0,1049,1667.4
1785289020,27940,27957.75,27936.75,27953.5,-1,0,0,0,0,1098,1611.65
1785289080,27952.25,27958,27949.25,27955.25,-1,0,0,0,0,583,1527.75
1785289140,27954.75,27959,27942.5,27943.25,-1,0,0,0,1,769,1490.6
1785289200,27943,27944.75,27914.25,27917,-1,0,0,0,0,2141,1461.2
1785289260,27917,27918,27903.75,27912.25,-1,0,0,0,0,1969,1492.95
1785289320,27911.5,27912.5,27892.5,27894,-1,0,0,0,0,1907,1496.2
1785289380,27893.5,27902.5,27889,27891,-1,0,0,0,0,1280,1473.5
1785289440,27891,27901.25,27878.5,27878.5,-1,0,0,0,0,1812,1468.6
1785289500,27878.75,27886.25,27859.5,27873.25,-1,0,0,0,0,2527,1524.65
1785289560,27872.75,27892.75,27870,27882.5,-1,0,0,0,0,1400,1526.45
1785289620,27883,27888,27858.75,27860.75,-1,0,0,0,0,1757,1534.95
1785289680,27860.5,27877,27852,27877,-1,0,0,0,0,1545,1555.4
1785289740,27876.25,27879.75,27853.5,27860.25,-1,0,0,0,0,1267,1572.3
1785289800,27860.25,27870.75,27852.25,27862,-1,0,0,0,0,1281,1496.4
1785289860,27860.25,27866,27829.75,27838.75,-1,0,0,0,0,2698,1551.15
1785289920,27838.75,27841,27818.25,27836,-1,0,0,0,0,2117,1605.2
1785289980,27835.75,27839,27814.25,27822.75,-1,0,0,0,0,2021,1632.05
1785290040,27822.75,27823.5,27809,27818.25,-1,0,0,0,0,1634,1646.25
1785290100,27817.75,27824.5,27808,27815,-1,0,0,0,0,1546,1620.05
1785290160,27814.5,27817.25,27797.75,27804.5,-1,0,0,0,0,2078,1671.5
1785290220,27804.25,27811.5,27787.75,27797,-1,0,0,0,0,1854,1709.3
1785290280,27797.5,27801.5,27785.25,27799.75,-1,0,0,0,0,1606,1760.45
1785290340,27800.25,27804.5,27784,27785.25,-1,0,0,0,0,1364,1790.2
1785290400,27785.75,27788.75,27770,27778.75,-1,0,0,0,0,2160,1791.15
1785290460,27778.5,27824.25,27772,27821.75,-1,0,0,0,0,3310,1858.2
1785290520,27820.75,27825.25,27803,27807.5,-1,0,0,0,0,2065,1866.1
1785290580,27806.75,27824.5,27793.5,27818,-1,0,0,0,0,1758,1890
1785290640,27818,27822.25,27804.5,27809.25,-1,0,0,0,0,1117,1855.25
